allnow, title, follow, score, count, view_6, danmaku, reply, coin, share, like, view_5, danmaku, reply, coin, share, like, view_4, danmaku, reply, coin, share, like, view_3, danmaku, reply, coin, share, like, view_PV2, danmaku, reply, coin, share, like, view_2, danmaku, reply, coin, share, like, view_PV1, danmaku, reply, coin, share, like, view_1, danmaku, reply, coin, share, like, 
8, 28228266, 797365, 9.8, 22200, 799644, 19794, 8668, 12079, 142, 1899, 590373, 17040, 841, 4890, 64, 1455, 611999, 22528, 1172, 4727, 43, 1377, 713630, 19686, 2041, 4810, 62, 1585, 351361, 418, 2593, 2092, 97, 233, 763468, 22200, 2871, 5081, 58, 1332, 351361, 418, 2593, 2092, 97, 233, 2782452, 50921, 10620, 16129, 454, 1673, 

allnow, title, follow, score, count, view_3, danmaku, reply, coin, share, like, view_2, danmaku, reply, coin, share, like, view_PV, danmaku, reply, coin, share, like, view_1, danmaku, reply, coin, share, like, 
4, 28228168, 819273, 7.3, 5362, 880096, 34168, 7560, 5796, 43, 1870, 1665681, 45283, 6477, 7424, 73, 2011, 726587, 474, 1836, 791, 19, 200, 4254577, 136833, 15265, 18226, 247, 2521, 

allnow, title, follow, score, count, view_3, danmaku, reply, coin, share, like, view_2, danmaku, reply, coin, share, like, view_PV, danmaku, reply, coin, share, like, view_1, danmaku, reply, coin, share, like, 
4, 28228368, 346309, 9.7, 1148, 119059, 2269, 801, 1650, 49, 1733, 313897, 2988, 1440, 3004, 49, 2172, 263544, 257, 745, 441, 8, 216, 1012840, 14056, 3317, 7785, 75, 26, 

allnow, title, follow, score, count, view_SP, danmaku, reply, coin, share, like, view_3, danmaku, reply, coin, share, like, view_2, danmaku, reply, coin, share, like, view_PV, danmaku, reply, coin, share, like, view_1, danmaku, reply, coin, share, like, 
5, 28228265, 360351, 8.6, 737, 41501, 79, 176, 78, 0, 139, 86958, 1490, 476, 604, 28, 1559, 333504, 6765, 1039, 1372, 36, 2014, 421034, 1108, 1287, 725, 33, 251, 1225391, 21433, 3659, 4253, 89, 14, 

allnow, title, follow, score, count, view_2, danmaku, reply, coin, share, like, view_PV, danmaku, reply, coin, share, like, view_1, danmaku, reply, coin, share, like, 
3, 28228332, 637040, 0, 0, 655409, 18471, 6640, 8463, 97, 2066, 542338, 494, 1806, 1617, 57, 225, 2514264, 47792, 10175, 23477, 210, 2843, 

allnow, title, follow, score, count, view_11, danmaku, reply, coin, share, like, view_10, danmaku, reply, coin, share, like, view_9, danmaku, reply, coin, share, like, view_8, danmaku, reply, coin, share, like, view_7, danmaku, reply, coin, share, like, view_6, danmaku, reply, coin, share, like, view_5, danmaku, reply, coin, share, like, view_4, danmaku, reply, coin, share, like, view_3, danmaku, reply, coin, share, like, view_2, danmaku, reply, coin, share, like, view_1, danmaku, reply, coin, share, like, view_PV, danmaku, reply, coin, share, like, 
12, 28228304, 1508733, 9.9, 19214, 553902, 11407, 3261, 16013, 31, 1971, 463669, 8370, 515, 3993, 26, 2569, 496229, 9826, 578, 8246, 29, 2050, 550294, 10061, 692, 3600, 20, 1724, 584750, 9789, 556, 3675, 23, 1729, 645136, 14185, 687, 4446, 37, 1920, 685768, 11282, 752, 5513, 60, 2243, 715881, 16809, 1028, 4311, 42, 1823, 819846, 13574, 954, 4753, 54, 3925, 1109625, 18787, 1435, 6537, 48, 1890, 2576904, 29774, 7927, 18070, 163, 1249, 1283191, 3130, 5436, 6854, 115, 129, 

allnow, title, follow, score, count, view_2, danmaku, reply, coin, share, like, view_PV, danmaku, reply, coin, share, like, view_1, danmaku, reply, coin, share, like, 
3, 28228339, 1474796, 0, 0, 1822057, 54263, 11882, 19027, 161, 1860, 1673660, 2837, 5289, 6573, 111, 407, 6593236, 237674, 24587, 67511, 700, 2712, 

allnow, title, follow, score, count, view_3, danmaku, reply, coin, share, like, view_2, danmaku, reply, coin, share, like, view_PV, danmaku, reply, coin, share, like, view_1, danmaku, reply, coin, share, like, 
4, 28228355, 771642, 9.6, 6320, 585286, 14860, 6930, 7903, 156, 1925, 1186826, 24298, 9692, 10857, 282, 1933, 626502, 1974, 4544, 1875, 55, 232, 3403211, 67438, 17944, 19891, 317, 2340, 

allnow, title, follow, score, count, view_超长PV , danmaku, reply, coin, share, like, view_3, danmaku, reply, coin, share, like, view_PV, danmaku, reply, coin, share, like, view_2, danmaku, reply, coin, share, like, view_1, danmaku, reply, coin, share, like, view_访谈, danmaku, reply, coin, share, like, 
6, 28228394, 331292, 0, 0, 73912, 342, 366, 355, 15, 43, 13339, 983, 415, 263, 27, 484, 208213, 140, 570, 318, 5, 273, 278886, 9950, 2516, 4633, 66, 1912, 863970, 19548, 3578, 7983, 84, 21, 9305, 182, 54, 135, 13, 96, 

allnow, title, follow, score, count, view_3, danmaku, reply, coin, share, like, view_2, danmaku, reply, coin, share, like, view_PV, danmaku, reply, coin, share, like, view_1, danmaku, reply, coin, share, like, 
4, 28228269, 270015, 8.8, 198, 46728, 1013, 334, 311, 63, 2054, 139413, 1915, 592, 659, 36, 2241, 319657, 259, 1155, 279, 11, 250, 1230337, 15073, 4534, 3272, 132, 3036, 

allnow, title, follow, score, count, view_2, danmaku, reply, coin, share, like, view_pv, danmaku, reply, coin, share, like, view_1, danmaku, reply, coin, share, like, 
3, 28228414, 294896, 0, 0, 234855, 7546, 1462, 2568, 124, 2085, 213502, 380, 1132, 488, 23, 305, 757317, 20643, 4114, 5466, 179, 2420, 

allnow, title, follow, score, count, view_3, danmaku, reply, coin, share, like, view_2, danmaku, reply, coin, share, like, view_PV, danmaku, reply, coin, share, like, view_1, danmaku, reply, coin, share, like, 
4, 28228440, 267285, 9.7, 223, 29704, 1144, 388, 483, 13, 1390, 177322, 6922, 1769, 2081, 15, 1987, 229971, 212, 591, 291, 10, 96, 793115, 10295, 2824, 3928, 33, 22, 

allnow, title, follow, score, count, view_3, danmaku, reply, coin, share, like, view_SP, danmaku, reply, coin, share, like, view_2, danmaku, reply, coin, share, like, view_PV, danmaku, reply, coin, share, like, view_1, danmaku, reply, coin, share, like, 
