title, follow, score, count, view_6, danmaku, reply, coin, share, like, view_5, danmaku, reply, coin, share, like, view_4, danmaku, reply, coin, share, like, view_3, danmaku, reply, coin, share, like, view_PV2, danmaku, reply, coin, share, like, view_2, danmaku, reply, coin, share, like, view_PV1, danmaku, reply, coin, share, like, view_1, danmaku, reply, coin, share, like, 
28228266, 426683, 9.8, 15346, 377997, 12173, 5486, 7257, 86, 1889, 315690, 10888, 811, 2776, 38, 1447, 333115, 14394, 696, 2627, 28, 1372, 393492, 12479, 1611, 3082, 46, 1577, 271717, 408, 2510, 1728, 90, 234, 439267, 14056, 1985, 3298, 39, 1327, 271717, 408, 2510, 1728, 90, 234, 1453132, 32636, 7442, 11058, 335, 1661, 

title, follow, score, count, view_PV, danmaku, reply, coin, share, like, 
28228168, 88827, 0, 0, 148555, 93, 776, 222, 15, 200, 

title, follow, score, count, view_PV, danmaku, reply, coin, share, like, 
28228368, 61063, 0, 0, 57113, 90, 356, 118, 6, 215, 

title, follow, score, count, view_PV, danmaku, reply, coin, share, like, 
28228265, 75903, 0, 0, 155525, 370, 855, 433, 19, 250, 

title, follow, score, count, 
28228375, 1839, 0, 0, 

title, follow, score, count, view_PV, danmaku, reply, coin, share, like, 
28228332, 64362, 0, 0, 163375, 311, 1058, 716, 33, 224, 

title, follow, score, count, view_PV, danmaku, reply, coin, share, like, 
28228304, 1148270, 0, 0, 519642, 2492, 3706, 5066, 90, 127, 

title, follow, score, count, view_PV, danmaku, reply, coin, share, like, 
28228339, 204094, 0, 0, 433919, 1315, 3102, 2868, 74, 403, 

title, follow, score, count, view_PV, danmaku, reply, coin, share, like, 
28228355, 80405, 0, 0, 148652, 921, 2122, 724, 31, 228, 

title, follow, score, count, view_PV, danmaku, reply, coin, share, like, 
28228394, 46774, 0, 0, 38257, 64, 333, 103, 3, 271, 

title, follow, score, count, view_PV, danmaku, reply, coin, share, like, 
28228269, 97791, 0, 0, 35462, 57, 343, 59, 2, 246, 

title, follow, score, count, view_pv, danmaku, reply, coin, share, like, 
28228414, 45719, 0, 0, 24391, 101, 425, 79, 8, 299, 

title, follow, score, count, 
28228461, 66, 0, 0, 

title, follow, score, count, view_PV, danmaku, reply, coin, share, like, 
28228440, 37056, 0, 0, 22550, 37, 195, 37, 2, 94, 

title, follow, score, count, view_PV, danmaku, reply, coin, share, like, 
28228439, 33436, 0, 0, 25924, 87, 369, 94, 1, 87, 

title, follow, score, count, view_PV, danmaku, reply, coin, share, like, 
28228443, 94540, 0, 0, 46464, 101, 549, 160, 3, 109, 

title, follow, score, count, view_PV, danmaku, reply, coin, share, like, 
28228438, 408137, 0, 0, 20632, 103, 337, 242, 0, 133, 

title, follow, score, count, view_PV, danmaku, reply, coin, share, like, 
28228433, 13470, 0, 0, 10122, 70, 192, 18, 0, 80, 

title, follow, score, count, view_PV, danmaku, reply, coin, share, like, 
28228413, 51569, 0, 0, 25316, 43, 249, 34, 1, 114, 

title, follow, score, count, view_PV, danmaku, reply, coin, share, like, 
28228276, 347066, 0, 0, 15853, 181, 815, 483, 3, 100, 

title, follow, score, count, 
28228462, 10894, 0, 0, 

title, follow, score, count, view_PV, danmaku, reply, coin, share, like, 
28228410, 41351, 0, 0, 26555, 78, 298, 69, 1, 248, 

title, follow, score, count, view_PV, danmaku, reply, coin, share, like, 
28228434, 781873, 0, 0, 73446, 950, 2088, 1023, 21, 91, 

title, follow, score, count, view_PV, danmaku, reply, coin, share, like, 
28228277, 26597, 0, 0, 30009, 291, 789, 269, 4, 95, 

title, follow, score, count, 
28228448, 222697, 0, 0, 

title, follow, score, count, view_PV, danmaku, reply, coin, share, like, 
28228386, 3494950, 0, 0, 680129, 20605, 17234, 22189, 229, 115, 

title, follow, score, count, 
28228409, 619910, 0, 0, 

title, follow, score, count, view_PV, danmaku, reply, coin, share, like, 
28228420, 9329, 0, 0, 9286, 29, 187, 75, 0, 97, 

title, follow, score, count, view_PV, danmaku, reply, coin, share, like, 
28228367, 5198928, 0, 0, 1428705, 12623, 8543, 21945, 4367, 12072, 

title, follow, score, count, view_PV, danmaku, reply, coin, share, like, 
28228406, 34425, 0, 0, 15419, 53, 188, 49, 1, 97, 

title, follow, score, count, 
28228449, 444139, 0, 0, 

title, follow, score, count, 
28228437, 20326, 0, 0, 

title, follow, score, count, view_PV, danmaku, reply, coin, share, like, 
28228268, 565230, 0, 0, 22146, 50, 369, 68, 2, 113, 

title, follow, score, count, view_PV, danmaku, reply, coin, share, like, 
28228119, 5773392, 0, 0, 766733, 11942, 8831, 11683, 141, 31, 

