title, follow, score, count, view_6, danmaku, reply, coin, share, like, view_5, danmaku, reply, coin, share, like, view_4, danmaku, reply, coin, share, like, view_3, danmaku, reply, coin, share, like, view_PV2, danmaku, reply, coin, share, like, view_2, danmaku, reply, coin, share, like, view_PV1, danmaku, reply, coin, share, like, view_1, danmaku, reply, coin, share, like, 
28228266, 409540, 9.8, 15150, 368199, 11984, 5383, 7140, 86, 1887, 308821, 10737, 817, 2721, 36, 1446, 326199, 14219, 696, 2551, 28, 1371, 385811, 12339, 1598, 3029, 45, 1576, 269643, 408, 2510, 1717, 89, 234, 431832, 13903, 1975, 3250, 39, 1326, 269643, 408, 2510, 1717, 89, 234, 1423445, 32285, 7379, 10950, 332, 1660, 

title, follow, score, count, view_PV, danmaku, reply, coin, share, like, 
28228168, 66958, 0, 0, 134674, 72, 723, 206, 15, 200, 

title, follow, score, count, view_PV, danmaku, reply, coin, share, like, 
28228368, 46126, 0, 0, 50367, 83, 335, 112, 6, 215, 

title, follow, score, count, view_PV, danmaku, reply, coin, share, like, 
28228265, 61555, 0, 0, 146473, 353, 825, 428, 18, 250, 

title, follow, score, count, 
28228375, 1784, 0, 0, 

title, follow, score, count, view_PV, danmaku, reply, coin, share, like, 
28228332, 62518, 0, 0, 159413, 308, 1035, 696, 33, 224, 

title, follow, score, count, view_PV, danmaku, reply, coin, share, like, 
28228304, 1136086, 0, 0, 506963, 2482, 3691, 5039, 90, 127, 

title, follow, score, count, view_PV, danmaku, reply, coin, share, like, 
28228339, 166860, 0, 0, 413490, 1277, 3058, 2793, 73, 402, 

title, follow, score, count, view_PV, danmaku, reply, coin, share, like, 
28228355, 60915, 0, 0, 131744, 500, 1986, 679, 31, 228, 

title, follow, score, count, view_PV, danmaku, reply, coin, share, like, 
28228394, 33678, 0, 0, 29473, 48, 304, 91, 3, 271, 

title, follow, score, count, view_PV, danmaku, reply, coin, share, like, 
28228269, 87009, 0, 0, 26032, 50, 300, 51, 2, 246, 

title, follow, score, count, view_pv, danmaku, reply, coin, share, like, 
28228414, 31511, 0, 0, 18446, 85, 360, 62, 8, 298, 

title, follow, score, count, 
28228461, 41, 0, 0, 

title, follow, score, count, view_PV, danmaku, reply, coin, share, like, 
28228440, 23973, 0, 0, 13872, 16, 142, 25, 2, 89, 

title, follow, score, count, view_PV, danmaku, reply, coin, share, like, 
28228439, 19384, 0, 0, 14426, 67, 242, 51, 0, 79, 

title, follow, score, count, view_PV, danmaku, reply, coin, share, like, 
28228443, 59679, 0, 0, 25306, 71, 385, 101, 3, 104, 

title, follow, score, count, view_PV, danmaku, reply, coin, share, like, 
28228438, 404073, 0, 0, 13184, 75, 273, 159, 0, 129, 

title, follow, score, count, view_PV, danmaku, reply, coin, share, like, 
28228433, 8391, 0, 0, 6213, 46, 140, 13, 0, 76, 

title, follow, score, count, view_PV, danmaku, reply, coin, share, like, 
28228413, 32041, 0, 0, 15459, 26, 192, 20, 1, 108, 

title, follow, score, count, view_PV, danmaku, reply, coin, share, like, 
28228276, 344157, 0, 0, 9780, 131, 669, 369, 3, 95, 

title, follow, score, count, 
28228462, 6548, 0, 0, 

title, follow, score, count, view_PV, danmaku, reply, coin, share, like, 
28228410, 25008, 0, 0, 15739, 55, 214, 41, 1, 237, 

title, follow, score, count, view_PV, danmaku, reply, coin, share, like, 
28228434, 776540, 0, 0, 56275, 497, 1950, 865, 17, 87, 

title, follow, score, count, view_PV, danmaku, reply, coin, share, like, 
28228277, 17404, 0, 0, 20037, 234, 657, 221, 4, 91, 

title, follow, score, count, 
28228448, 218763, 0, 0, 

title, follow, score, count, view_PV, danmaku, reply, coin, share, like, 
28228386, 3461050, 0, 0, 477659, 16454, 15434, 16283, 181, 108, 

title, follow, score, count, 
28228409, 617170, 0, 0, 

title, follow, score, count, view_PV, danmaku, reply, coin, share, like, 
28228420, 5793, 0, 0, 5896, 17, 147, 61, 0, 92, 

title, follow, score, count, view_PV, danmaku, reply, coin, share, like, 
28228367, 5174935, 0, 0, 1194938, 11077, 7817, 18840, 4339, 12072, 

title, follow, score, count, view_PV, danmaku, reply, coin, share, like, 
28228406, 21337, 0, 0, 9226, 34, 144, 32, 0, 92, 

title, follow, score, count, 
28228449, 441693, 0, 0, 

title, follow, score, count, 
28228437, 18536, 0, 0, 

title, follow, score, count, view_PV, danmaku, reply, coin, share, like, 
28228268, 558642, 0, 0, 13650, 31, 294, 46, 1, 110, 

title, follow, score, count, view_PV, danmaku, reply, coin, share, like, 
28228119, 5763446, 0, 0, 603555, 10348, 8239, 9661, 121, 28, 

