title, follow, score, count, view_6, danmaku, reply, coin, share, like, view_5, danmaku, reply, coin, share, like, view_4, danmaku, reply, coin, share, like, view_3, danmaku, reply, coin, share, like, view_PV2, danmaku, reply, coin, share, like, view_2, danmaku, reply, coin, share, like, view_PV1, danmaku, reply, coin, share, like, view_1, danmaku, reply, coin, share, like, 
28228266, 383148, 9.8, 14746, 351170, 11590, 5208, 6894, 80, 1887, 295704, 10329, 817, 2615, 36, 1446, 313183, 13745, 682, 2453, 28, 1371, 371580, 11980, 1545, 2941, 44, 1574, 266074, 408, 2503, 1704, 89, 233, 417515, 13530, 1925, 3176, 39, 1326, 266074, 408, 2503, 1704, 89, 233, 1372635, 31526, 7215, 10736, 324, 1659, 

title, follow, score, count, view_PV, danmaku, reply, coin, share, like, 
28228168, 34545, 0, 0, 117072, 44, 626, 191, 14, 200, 

title, follow, score, count, view_PV, danmaku, reply, coin, share, like, 
28228368, 19406, 0, 0, 40088, 63, 299, 104, 5, 214, 

title, follow, score, count, view_PV, danmaku, reply, coin, share, like, 
28228265, 38632, 0, 0, 133964, 329, 782, 411, 17, 248, 

title, follow, score, count, 
28228375, 1638, 0, 0, 

title, follow, score, count, view_PV, danmaku, reply, coin, share, like, 
28228332, 58534, 0, 0, 151958, 298, 978, 669, 31, 223, 

title, follow, score, count, view_PV, danmaku, reply, coin, share, like, 
28228304, 1118724, 0, 0, 486935, 2455, 3638, 4967, 88, 127, 

title, follow, score, count, view_PV, danmaku, reply, coin, share, like, 
28228339, 109844, 0, 0, 384137, 1217, 2943, 2661, 70, 399, 

title, follow, score, count, view_PV, danmaku, reply, coin, share, like, 
28228355, 30174, 0, 0, 104052, 408, 1750, 585, 26, 225, 

title, follow, score, count, view_PV, danmaku, reply, coin, share, like, 
28228394, 11327, 0, 0, 15718, 27, 251, 67, 2, 270, 

title, follow, score, count, view_PV, danmaku, reply, coin, share, like, 
28228269, 70243, 0, 0, 12413, 25, 208, 37, 0, 243, 

title, follow, score, count, view_pv, danmaku, reply, coin, share, like, 
28228414, 6466, 0, 0, 8256, 39, 213, 33, 4, 289, 

